Date,Country,Value
2/27/2020,Singapore,1.3944
2/28/2020,Singapore,1.3944
3/2/2020,Singapore,1.3893
3/3/2020,Singapore,1.3858
3/4/2020,Singapore,1.3848
3/5/2020,Singapore,1.3853
3/6/2020,Singapore,1.3786
3/9/2020,Singapore,1.3832
3/10/2020,Singapore,1.3903
3/11/2020,Singapore,1.3915
3/12/2020,Singapore,1.41
3/13/2020,Singapore,1.417
3/16/2020,Singapore,1.42
3/17/2020,Singapore,1.4296
3/18/2020,Singapore,1.4448
3/19/2020,Singapore,1.449
3/20/2020,Singapore,1.4525
3/23/2020,Singapore,1.4605
3/24/2020,Singapore,1.4467
3/25/2020,Singapore,1.4484
3/26/2020,Singapore,1.431
3/27/2020,Singapore,1.4305
3/30/2020,Singapore,1.4253
3/31/2020,Singapore,1.4215
4/1/2020,Singapore,1.4346
4/2/2020,Singapore,1.4304
4/3/2020,Singapore,1.4408
4/6/2020,Singapore,1.4315
4/7/2020,Singapore,1.4228
4/8/2020,Singapore,1.4259
4/9/2020,Singapore,1.417
4/10/2020,Singapore,1.413
4/13/2020,Singapore,1.415
4/14/2020,Singapore,1.4143
4/15/2020,Singapore,1.4235
4/16/2020,Singapore,1.4284
4/17/2020,Singapore,1.422
4/20/2020,Singapore,1.4189
4/21/2020,Singapore,1.4311
4/22/2020,Singapore,1.4277
4/23/2020,Singapore,1.4225
4/24/2020,Singapore,1.4253
4/27/2020,Singapore,1.4189
4/28/2020,Singapore,1.4167
4/29/2020,Singapore,1.4124
4/30/2020,Singapore,1.4095
5/1/2020,Singapore,1.4163
5/4/2020,Singapore,1.4169
5/5/2020,Singapore,1.4148
5/6/2020,Singapore,1.4203
5/7/2020,Singapore,1.4151
5/8/2020,Singapore,1.4114
5/11/2020,Singapore,1.4176
5/12/2020,Singapore,1.4155
5/13/2020,Singapore,1.4185
5/14/2020,Singapore,1.4258
5/15/2020,Singapore,1.4274
5/18/2020,Singapore,1.4191
5/19/2020,Singapore,1.4157
5/20/2020,Singapore,1.4128
5/21/2020,Singapore,1.4174
5/22/2020,Singapore,1.4254
5/25/2020,Singapore,
5/26/2020,Singapore,1.4167
5/27/2020,Singapore,1.4207
5/28/2020,Singapore,1.4157
5/29/2020,Singapore,1.4135
6/1/2020,Singapore,1.4075
6/2/2020,Singapore,1.4015
6/3/2020,Singapore,1.3957
6/4/2020,Singapore,1.3978
6/5/2020,Singapore,1.3918
6/8/2020,Singapore,1.3895
6/9/2020,Singapore,1.3887
6/10/2020,Singapore,1.384
6/11/2020,Singapore,1.3883
6/12/2020,Singapore,1.3923
6/15/2020,Singapore,1.3943
6/16/2020,Singapore,1.3937
6/17/2020,Singapore,1.3939
6/18/2020,Singapore,1.3939
6/19/2020,Singapore,1.3965
6/22/2020,Singapore,1.3924
6/23/2020,Singapore,1.3895
6/24/2020,Singapore,1.3922
6/25/2020,Singapore,1.3914
6/26/2020,Singapore,1.3938
6/29/2020,Singapore,1.3943
6/30/2020,Singapore,1.3942
7/1/2020,Singapore,1.3936
7/2/2020,Singapore,1.3947
7/3/2020,Singapore,
7/6/2020,Singapore,1.393
7/7/2020,Singapore,1.3931
7/8/2020,Singapore,1.3928
7/9/2020,Singapore,1.3922
7/10/2020,Singapore,1.3904
7/13/2020,Singapore,1.3879
7/14/2020,Singapore,1.3918
7/15/2020,Singapore,1.3899
7/16/2020,Singapore,1.3894
7/17/2020,Singapore,1.3898
7/20/2020,Singapore,1.3886
7/21/2020,Singapore,1.3845
7/22/2020,Singapore,1.3837
7/23/2020,Singapore,1.3841
7/24/2020,Singapore,1.3832
7/27/2020,Singapore,1.3792
7/28/2020,Singapore,1.3778
7/29/2020,Singapore,1.3752
7/30/2020,Singapore,1.3757
7/31/2020,Singapore,1.3728
8/3/2020,Singapore,1.3764
8/4/2020,Singapore,1.3749
8/5/2020,Singapore,1.3676
8/6/2020,Singapore,1.3693
8/7/2020,Singapore,1.3729
8/10/2020,Singapore,1.3729
8/11/2020,Singapore,1.3724
8/12/2020,Singapore,1.3715
8/13/2020,Singapore,1.3719
8/14/2020,Singapore,1.3703
8/17/2020,Singapore,1.3679
8/18/2020,Singapore,1.3647
8/19/2020,Singapore,1.366
8/20/2020,Singapore,1.3676
8/21/2020,Singapore,1.3723
8/24/2020,Singapore,1.3696
8/25/2020,Singapore,1.3693
8/26/2020,Singapore,1.3663
8/27/2020,Singapore,1.3656
8/28/2020,Singapore,1.3582
8/31/2020,Singapore,1.36
9/1/2020,Singapore,1.3598
9/2/2020,Singapore,1.3629
9/3/2020,Singapore,1.3655
9/4/2020,Singapore,1.3667
9/7/2020,Singapore,
9/8/2020,Singapore,1.3692
9/9/2020,Singapore,1.3671
9/10/2020,Singapore,1.3667
9/11/2020,Singapore,1.3678
9/14/2020,Singapore,1.3632
9/15/2020,Singapore,1.3614
9/16/2020,Singapore,1.3573
9/17/2020,Singapore,1.3587
9/18/2020,Singapore,1.3572
9/21/2020,Singapore,1.3635
9/22/2020,Singapore,1.366
9/23/2020,Singapore,1.3707
